name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
accept,TRUE,Accept,Akzeptieren,Accept,Accept,Accepter,Accepter,Accepter,Accepteer,Acceptera,Accetta,Accepter,Accepteer,Accept,Accepter,Akzeptieren,Accepter,Akzeptieren,Accept,Akzeptieren,Accept,Akceptuj,Hyväksy,Aceptar,Potvrdit,Elfogadás
add_education,TRUE,Add Education,Ausbildung hinzufügen,Add Education,Add Education,Ajouter un diplôme,Ajouter une formation,Ajouter un diplôme,Opleiding toevoegen,Lägg till utbildning,Aggiungi Istruzione,Ajouter un diplôme,Opleiding toevoegen,Add Education,Ajouter un diplôme,Ausbildung hinzufügen,Ajouter un diplôme,Ausbildung hinzufügen,Add Education,Ausbildung hinzufügen,Add Education,Dodaj wykształcenie,Lisää koulutustaso,Añadir Diploma,Přidat vzdělání,Tanulmány hozzáadása
add_experience,TRUE,Add Experience,Berufserfahrung hinzufügen,Add Experience,Add Experience,Ajouter une expérience,Ajouter une expérience,Ajouter une expérience,Ervaring toevoegen,Lägg till erfarenhet,Aggiungi Esperienza,Ajouter une expérience,Ervaring toevoegen,Add Experience,Ajouter une expérience,Berufserfahrung hinzufügen,Ajouter une expérience,Berufserfahrung hinzufügen,Add Experience,Berufserfahrung hinzufügen,Add Experience,Dodaj doświadczenie,Lisää aiempi kokemus,Añadir Experiencia,Přidat zkušenost,Tapasztalat hozzáadása
add_skill,TRUE,Add Skill,Fähigkeit hinzufügen,Add Skill,Add Skill,Ajouter une compétence,Ajouter une compétence,Ajouter une compétence,Vaardigheid toevoegen,Lägg till färdigheter,Aggiungi Competenza,Ajouter une compétence,Vaardigheid toevoegen,Add Skill,Ajouter une compétence,Fähigkeit hinzufügen,Ajouter une compétence,Fähigkeit hinzufügen,Add Skill,Fähigkeit hinzufügen,Add Skill,Dodaj umiejętność,Lisää osaaminen,Añadir Habilidad,Přidat dovednost,Készség hozzáadása
agree_snackbar,TRUE,Must agree to terms,Bitte die Nutzungsbedingungen akzeptieren.,Must agree to terms,Must agree to terms,Vous devez accepter les conditions générales d\'utilisation.,Vous devez accepter les conditions générales d\'utilisation.,Vous devez accepter les conditions générales d\'utilisation.,Je moet de voorwaarden nog accepteren,Du måste acceptera villkoren,È necessario accettare i termini,Vous devez accepter les conditions générales d\'utilisation.,Je moet de voorwaarden nog accepteren,Must agree to terms,Vous devez accepter les conditions générales d\'utilisation.,Bitte die Nutzungsbedingungen akzeptieren.,Vous devez accepter les conditions générales d\'utilisation.,Bitte die Nutzungsbedingungen akzeptieren.,Must agree to terms,Bitte die Nutzungsbedingungen akzeptieren.,Must agree to terms,Musisz wyrazić zgodę na warunki użytkowania,Sinun tulee hyväksyä ehdot,Debes aceptar los Términos de Uso,Je nutné souhlasit s podmínkami,El kell fogadnod a feltételeket
alert_text,TRUE,New message from %1$s,Neue Nachricht von %1$s,New message from %1$s,New message from %1$s,Nouveau message de %1$s,Nouveau message de %1$s,Nouveau message de %1$s,Nieuw bericht van %1$s,Nytt meddelande från %1$s,Nuovo messaggio da %1$s,Nouveau message de %1$s,Nieuw bericht van %1$s,New message from %1$s,Nouveau message de %1$s,Neue Nachricht von %1$s,Nouveau message de %1$s,Neue Nachricht von %1$s,New message from %1$s,Neue Nachricht von %1$s,New message from %1$s,Nowa wiadomość od %1$s,Uusi viesti %1$s,Nuevo mensaje de %1$s,Nová zpráva od %1$s,Új üzenet - %1$s
allow,TRUE,Allow,Zulassen,Allow,Allow,Autoriser,Autoriser,Autoriser,Toestaan,Tillåt,Consenti,Autoriser,Toestaan,Allow,Autoriser,Zulassen,Autoriser,Zulassen,Allow,Zulassen,Allow,Zezwól,Salli,Autorizar,Povolit,Engedélyezés
allow_unspecified_salaries,TRUE,Allow Unspecified Salaries,Nicht konkretisierte Gehaltsangaben,Allow Unspecified Salaries,Allow Unspecified Salaries,Inclure les offres sans salaire précisé,Inclure les offres sans salaire précisé,Inclure les offres sans salaire précisé,Onbekend salaris toestaan.,Inkludera jobb utan löneanspråk,Includi Stipendi non specificati,Inclure les offres sans salaire précisé,Onbekend salaris toestaan.,Allow Unspecified Salaries,Inclure les offres sans salaire précisé,Nicht konkretisierte Gehaltsangaben,Inclure les offres sans salaire précisé,Nicht konkretisierte Gehaltsangaben,Allow Unspecified Salaries,Nicht konkretisierte Gehaltsangaben,Allow Unspecified Salaries,Pokaż oferty bez podanego wynagrodzenia,Salli määrittelemättömät palkkatiedot,Incluir las ofertas cuyo salario no ha sido comunicado,Povolit nespecifikované platy,Mutassa a fizetési igényt nem közlőket is
app_link_url,FALSE,https://fb.me/974726425878548,,,,,,,,,https://fb.me/974726425878548,,,,,,,,,,https://fb.me/974726425878548,https://fb.me/974726425878548,https://fb.me/974726425878548,,https://fb.me/974726425878548,https://fb.me/974726425878548
app_name,FALSE,Monster,,Monster,Monster,,,,,,Monster,,,Monster,,,,,Monster,,Monster,Monster,Monster,Monster,Monster,Monster
